lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.6.1,filtered_state.7.1,filtered_state.8.1,filtered_state.9.1,filtered_state.10.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,filtered_state.6.2,filtered_state.7.2,filtered_state.8.2,filtered_state.9.2,filtered_state.10.2,log_marginal
# Adaptation terminated
# Step size = 0.887452
# Diagonal elements of inverse mass matrix:
# 0.108906, 0.12301
-26.884478,0.99872394,0.88745175,3,7,0,27.034267,0.83582134,0.12469671,0.16417866,0.87530329,0.15794277,0.096632339,0.087630323,0.086350082,0.77114865,0.22569628,0.10719134,0.77765088,0.91327556,0.27159092,0.84205723,0.90336766,0.91236968,0.91364992,0.22885135,0.77430372,0.89280866,0.22234912,0.086724438,0.72840908,-6.877476
-28.446083,0.90238669,0.88745175,3,7,0,28.719404,0.8265949,0.043480558,0.1734051,0.95651944,0.15346609,0.093043926,0.084448164,0.083263348,0.90479946,0.26195937,0.10975536,0.90879817,0.9740178,0.2871252,0.84653391,0.90695607,0.91555184,0.91673665,0.095200542,0.73804063,0.89024464,0.091201833,0.025982201,0.7128748,-6.7711629
-28.048551,0.95405037,0.88745175,3,7,0,30.62552,0.63195469,0.22894406,0.36804531,0.77105594,0.32310149,0.2641508,0.24573506,0.24009964,0.64413265,0.37568305,0.28107779,0.65957833,0.78109623,0.4299682,0.67689851,0.7358492,0.75426494,0.75990036,0.35586735,0.62431695,0.71892221,0.34042167,0.21890377,0.5700318,-6.5060326
-27.315129,0.90277337,0.88745175,2,3,0,29.530791,0.86144621,0.10695033,0.13855379,0.89304967,0.13430916,0.078269509,0.07138148,0.07055977,0.79738323,0.20128607,0.087006265,0.80213706,0.92952569,0.24103757,0.86569084,0.92173049,0.92861852,0.92944023,0.20261677,0.79871393,0.91299374,0.19786294,0.070474311,0.75896243,-6.9279221
-27.116261,0.93541299,0.88745175,3,7,0,28.552022,0.85437164,0.12469538,0.14562836,0.87530462,0.14264243,0.084580798,0.076957876,0.075987328,0.7717278,0.20559252,0.093334981,0.77717778,0.91493738,0.24908879,0.85735757,0.9154192,0.92304212,0.92401267,0.2282722,0.79440748,0.90666502,0.22282222,0.085062625,0.75091121,-6.9345216
-28.670588,0.89855705,0.88745175,2,3,0,28.914217,0.89122187,0.23669409,0.10877813,0.76330591,0.12473354,0.071236004,0.065170874,0.064502757,0.64533291,0.1525474,0.074516698,0.64948251,0.82723362,0.19587202,0.87526646,0.928764,0.93482913,0.93549724,0.35466709,0.8474526,0.9254833,0.35051749,0.17276638,0.80412798,-7.3635992
-29.127486,0.96604823,0.88745175,1,1,0,29.321157,0.90665703,0.23587516,0.093342972,0.76412484,0.10885886,0.060087041,0.055318461,0.054864442,0.64602626,0.13380379,0.062617528,0.64926006,0.83011218,0.17343851,0.89114114,0.93991296,0.94468154,0.94513556,0.35397374,0.86619621,0.93738247,0.35073994,0.16988782,0.82656149,-7.4181116
-26.829028,0.94934796,0.88745175,3,7,0,29.504486,0.73444276,0.095509317,0.26555724,0.90449068,0.2269627,0.15848352,0.14353833,0.14037948,0.80965689,0.32748872,0.18192904,0.82047125,0.9285311,0.37496819,0.7730373,0.84151648,0.85646167,0.85962052,0.19034311,0.67251128,0.81807096,0.17952875,0.071468896,0.62503181,-6.5630712
-27.743344,0.90280819,0.88745175,3,7,0,29.295677,0.80088093,0.055403771,0.19911907,0.94459623,0.17409846,0.11001198,0.099539436,0.09788313,0.88121586,0.2835605,0.12935404,0.88692129,0.96480871,0.31524195,0.82590154,0.88998802,0.90046056,0.90211687,0.11878414,0.7164395,0.87064596,0.11307871,0.035191291,0.68475805,-6.7060847
-27.208815,0.96144207,0.88745175,3,7,0,29.253354,0.72335408,0.075628332,0.27664592,0.92437167,0.23034294,0.16182474,0.14663148,0.1433681,0.84173192,0.34404101,0.18889331,0.8519048,0.94462922,0.38640257,0.76965706,0.83817526,0.85336852,0.8566319,0.15826808,0.65595899,0.81110669,0.1480952,0.05537078,0.61359743,-6.5245935
